section,line_item,amount,fund,fiscal_year
appropriation,Reserve for Two-Year Budget Plan,32645834.0,General Fund,2015
appropriation,GROSS ENDING FUND BALANCE* $ 0,77035265.0,General Fund,2015
balance,BEGINNING BALANCE,249174568.0,Total All Funds,2015
revenue,Property Tax,428795806.0,Total All Funds,2015
revenue,Delinquent Property Tax,7732000.0,Total All Funds,2015
revenue,Sales Tax,328227850.0,Total All Funds,2015
revenue,Other Tax,118466798.0,Total All Funds,2015
revenue,Licenses and Permits,7986740.0,Total All Funds,2015
revenue,CPS Energy,315962248.0,Total All Funds,2015
revenue,San Antonio Water System,13373971.0,Total All Funds,2015
revenue,Charges for Services,390304048.0,Total All Funds,2015
revenue,Fines & Forfeits,15934397.0,Total All Funds,2015
revenue,Miscellaneous,17468133.0,Total All Funds,2015
revenue,Grants,136935692.0,Total All Funds,2015
revenue,Subtotal Revenues,1799075394.0,Total All Funds,2015
revenue,Transfers from other funds,184997960.0,Total All Funds,2015
revenue,TOTAL REVENUES,1984073354.0,Total All Funds,2015
revenue,TOTAL AVAILABLE FUNDS,2233247922.0,Total All Funds,2015
appropriation,Administrative & Operational Excellence,70177042.0,Total All Funds,2015
appropriation,"Convention, Tourism & Culture",71568208.0,Total All Funds,2015
appropriation,Economic Development,117134867.0,Total All Funds,2015
appropriation,Environmental,101340233.0,Total All Funds,2015
appropriation,Health & Human Services,228522632.0,Total All Funds,2015
appropriation,Neighborhood Services,52668074.0,Total All Funds,2015
appropriation,Parks & Recreation,53374005.0,Total All Funds,2015
appropriation,Public Safety,709876004.0,Total All Funds,2015
appropriation,Streets & Infrastructure,121188354.0,Total All Funds,2015
appropriation,Debt Service,254939795.0,Total All Funds,2015
appropriation,Subtotal Appropriations,1780789215.0,Total All Funds,2015
appropriation,Transfers to other funds,255526290.0,Total All Funds,2015
appropriation,TOTAL APPROPRIATIONS,2036315505.0,Total All Funds,2015
appropriation,GROSS ENDING FUND BALANCE,196932418.0,Total All Funds,2015
balance,BEGINNING BALANCE,63868294.0,General Fund,2016
