fund,fund_raw,line_item,adopted_amount,fiscal_year,is_total_row
General Fund,GENERAL FUND,Current Property Tax,342164372.0,2018,False
General Fund,GENERAL FUND,City Sales Tax,285213407.0,2018,False
General Fund,GENERAL FUND,CPS Energy,352469884.0,2018,False
General Fund,GENERAL FUND,Business and Franchise Tax,30428024.0,2018,False
General Fund,GENERAL FUND,Liquor by the Drink Tax,8772000.0,2018,False
General Fund,GENERAL FUND,Delinquent Property Tax,2741105.0,2018,False
General Fund,GENERAL FUND,Penalty and Interest on Delinquent Taxes,2130696.0,2018,False
General Fund,GENERAL FUND,Licenses and Permits,9055174.0,2018,False
General Fund,GENERAL FUND,San Antonio Water System,16387483.0,2018,False
General Fund,GENERAL FUND,Other Agencies,6915784.0,2018,False
General Fund,GENERAL FUND,General Government,3666963.0,2018,False
General Fund,GENERAL FUND,Public Safety,41625342.0,2018,False
General Fund,GENERAL FUND,Highways/Streets/Sanitation,1006534.0,2018,False
General Fund,GENERAL FUND,Health,3075670.0,2018,False
General Fund,GENERAL FUND,Recreation and Culture,14006616.0,2018,False
General Fund,GENERAL FUND,Fines,11950000.0,2018,False
General Fund,GENERAL FUND,Sale of Property,4182939.0,2018,False
General Fund,GENERAL FUND,Use of Money and Property,2940361.0,2018,False
General Fund,GENERAL FUND,Interest on Time Deposits,1582999.0,2018,False
General Fund,GENERAL FUND,Recovery of Expenditures,2884989.0,2018,False
General Fund,GENERAL FUND,Miscellaneous,500000.0,2018,False
General Fund,GENERAL FUND,Interfund Charges,1850000.0,2018,False
General Fund,GENERAL FUND,Transfers,36709843.0,2018,False
General Fund,GENERAL FUND,TOTAL GENERAL FUND,1182260185.0,2018,True
Special Revenue Funds,SPECIAL REVENUE FUNDS,Advanced Transportation District,16854922.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Arts & Culture,10735501.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Child Safety,2264380.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Community & Visitor Facilities,49613677.0,2018,False
Special Revenue Funds,SPECIAL REVENUE FUNDS,Confiscated Property,711447.0,2018,False
